ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE,CONCISE_TITLE
174,01166,TB pneumonia-oth test,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Tuberculous Pneumonia without Bacteriological or Histological Evidence
175,01170,TB pneumothorax-unspec,"Tuberculous pneumothorax, unspecified",Tuberculous Pneumothorax
176,01171,TB pneumothorax-no exam,"Tuberculous pneumothorax, bacteriological or histological examination not done",Tuberculous Pneumothorax
177,01172,TB pneumothorx-exam unkn,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",Tuberculous Pneumothorax
178,01173,TB pneumothorax-micro dx,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",Tuberculous Pneumothorax
179,01174,TB pneumothorax-cult dx,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Tuberculous Pneumothorax without Sputum Culture
180,01175,TB pneumothorax-histo dx,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Tuberculous Pneumothorax
181,01176,TB pneumothorax-oth test,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Tuberculous Pneumothorax
182,01180,Pulmonary TB NEC-unspec,"Other specified pulmonary tuberculosis, unspecified","Tuberculosis, Pulmonary"
183,01181,Pulmonary TB NEC-no exam,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done","Tuberculosis, Pulmonary"
184,01182,Pulmon TB NEC-exam unkn,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)","Tuberculosis, Unknown Bacteriological or Histological Examination"
185,01183,Pulmon TB NEC-micro dx,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy","Tuberculosis, Pulmonary"
186,01184,Pulmon TB NEC-cult dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Tuberculosis, Pulmonary"
187,01185,Pulmon TB NEC-histo dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Tuberculosis, Unspecified Site"
188,01186,Pulmon TB NEC-oth test,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Tuberculosis, Pulmonary, Confirmed by Other Methods"
189,01190,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified","Tuberculosis, Pulmonary"
190,01191,Pulmonary TB NOS-no exam,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done","Tuberculosis, Unspecified Pulmonary"
191,01192,Pulmon TB NOS-exam unkn,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)","Tuberculosis, Unspecified"
192,01193,Pulmon TB NOS-micro dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy","Tuberculosis, Pulmonary"
193,01194,Pulmon TB NOS-cult dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Tuberculosis, Pulmonary"
194,01195,Pulmon TB NOS-histo dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Tuberculosis, Confirmed Histologically"
195,01196,Pulmon TB NOS-oth test,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Tuberculosis, Unspecified"
196,01200,TB pleurisy-unspec,"Tuberculous pleurisy, unspecified",Tuberculous Pleurisy
197,01201,TB pleurisy-no exam,"Tuberculous pleurisy, bacteriological or histological examination not done",Tuberculous Pleurisy
198,01202,TB pleurisy-exam unkn,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)",Tuberculous Pleurisy
199,01203,TB pleurisy-micro dx,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",Tuberculous Pleurisy
200,01204,TB pleurisy-cult dx,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Tuberculous Pleurisy without Sputum Positive for Tubercle Bacilli
201,01205,TB pleurisy-histolog dx,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Tuberculous Pleurisy without Bacteriological Confirmation
202,01206,TB pleurisy-oth test,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",Tuberculous Pleurisy without Bacteriological or Histological Evidence
203,01210,TB thoracic nodes-unspec,"Tuberculosis of intrathoracic lymph nodes, unspecified",Tuberculosis of Intrathoracic Lymph Nodes
204,01211,TB thorax node-no exam,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",Tuberculosis of Intrathoracic Lymph Nodes
205,01212,TB thorax node-exam unkn,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)",Tuberculosis of Intrathoracic Lymph Nodes
206,01213,TB thorax node-micro dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy",Tuberculosis of Intrathoracic Lymph Nodes
207,01214,TB thorax node-cult dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Tuberculosis of Intrathoracic Lymph Nodes
