ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE,CONCISE_TITLE
264,851,Canthotomy,Canthotomy,Canthotomy
265,852,Blepharorrhaphy,Blepharorrhaphy,Blepharoplasty
266,859,Adjust lid position NEC,Other adjustment of lid position,Lid Adjustment
267,861,Lid reconst w skin graft,Reconstruction of eyelid with skin flap or graft,Eyelid Skin Flap or Graft Reconstruction
268,862,Lid reconst w muc graft,Reconstruction of eyelid with mucous membrane flap or graft,Eyelid Mucous Membrane Reconstruction
269,863,Lid reconst w hair graft,Reconstruction of eyelid with hair follicle graft,Eyelid Hair Follicle Graft Reconstruction
270,864,Lid recon-tarsoconj flap,Reconstruction of eyelid with tarsoconjunctival flap,Tarsoconjunctival Flap Eyelid Reconstruction
271,869,Lid reconstr w graft NEC,Other reconstruction of eyelid with flaps or grafts,Eyelid Reconstruction with Flaps or Grafts
272,870,Lid reconstruction NOS,"Reconstruction of eyelid, not otherwise specified",Eyelid Reconstruction
273,871,Lid marg recon-part thic,"Reconstruction of eyelid involving lid margin, partial-thickness",Eyelid Margin Reconstruction
274,872,Lid recons-part thic NEC,"Other reconstruction of eyelid, partial-thickness",Eyelid Partial Thickness Reconstruction
275,873,Lid marg recons ful thic,"Reconstruction of eyelid involving lid margin, full-thickness",Eyelid Full-Thickness Reconstruction
276,874,Lid reconst-ful thic NEC,"Other reconstruction of eyelid, full-thickness",Eyelid Full-Thickness Reconstruction
277,881,Linear rep lid lacer,Linear repair of laceration of eyelid or eyebrow,Eyelid or Eyebrow Laceration Repair
278,882,Lid marg lac rx-part th,"Repair of laceration involving lid margin, partial-thickness",Lid Margin Repair
279,883,Lid lacer rx-prt th NEC,"Other repair of laceration of eyelid, partial-thickness",Eyelid Laceration Repair
280,884,Lid marg lac rx-ful thic,"Repair of laceration involving lid margin, full-thickness",Lid Repair
281,885,Lid lac rx-ful thic NEC,"Other repair of laceration of eyelid, full-thickness",Eyelid Laceration Repair
282,886,Lower lid rhytidectomy,Lower eyelid rhytidectomy,Lower Eyelid Rhytidectomy
283,887,Upper lid rhytidectomy,Upper eyelid rhytidectomy,Blepharoplasty
284,889,Eyelid repair NEC,Other eyelid repair,Eyelid Repair
285,891,Electrosurg lid epilat,Electrosurgical epilation of eyelid,Eyelid Electrosurgical Epilation
286,892,Cryosurg lid epilation,Cryosurgical epilation of eyelid,Eyelid Cryosurgery
287,893,Eyelid epilation NEC,Other epilation of eyelid,Eyelid Epilation
288,899,Eyelid operation NEC,Other operations on eyelids,Eyelid Other Operations
289,90,Lacrimal gland incision,Incision of lacrimal gland,Lacrimal Gland Incision
290,911,Lacrimal gland biopsy,Biopsy of lacrimal gland,Lacrimal Gland Biopsy
291,912,Lacrimal sac biopsy,Biopsy of lacrimal sac,Lacrimal Sac Biopsy
292,919,Lacrimal sys dx proc NEC,Other diagnostic procedures on lacrimal system,Lacrimal System Diagnostics
