NDC,drugbank_id
504190150,DB00001
667330948,DB00002
502420100,DB00003
584060435,DB00005
584060425,DB00005
652930001,DB00006
003003641,DB00007
000743346,DB00007
000743473,DB00007
003003642,DB00007
000743641,DB00007
000040350,DB00008
502420044,DB00009
502420085,DB00009
555130028,DB00012
555130023,DB00012
555130039,DB00012
555130126,DB00016
555130267,DB00016
596760310,DB00016
555130148,DB00016
596760320,DB00016
555130144,DB00016
596760302,DB00016
555130478,DB00016
596760340,DB00016
596760303,DB00016
596760304,DB00016
000780149,DB00017
000780311,DB00017
605050823,DB00017
584060050,DB00020
504190050,DB00020
584060002,DB00020
504190002,DB00020
000851370,DB00022
579020249,DB00023
673860411,DB00023
666580234,DB00026
242080790,DB00027
674670843,DB00028
009442620,DB00028
009442700,DB00028
135330645,DB00028
442060436,DB00028
000028501,DB00030
000028315,DB00030
001691833,DB00030
000028715,DB00030
000028215,DB00030
001691834,DB00030
000028615,DB00030
000028415,DB00030
000042015,DB00034
000752450,DB00035
000750016,DB00035
007035054,DB00035
555665040,DB00035
000752452,DB00035
000937316,DB00035
000752451,DB00035
553900004,DB00040
545694734,DB00040
539050991,DB00041
654830116,DB00041
000780495,DB00041
548684381,DB00046
000027511,DB00046
000027510,DB00046
000882220,DB00047
000645010,DB00048
000245150,DB00049
000744339,DB00051
584684663,DB00053
000027140,DB00054
000027561,DB00055
000027559,DB00055
000084510,DB00056
576650002,DB00059
596270001,DB00060
685165214,DB00062
442060251,DB00062
009440491,DB00062
674670643,DB00062
000537670,DB00062
000537680,DB00062
000851136,DB00063
000851177,DB00063
578940030,DB00065
633230302,DB00067
545693916,DB00067
615700420,DB00067
664350201,DB00069
674250002,DB00070
502420134,DB00072
502420053,DB00073
502420051,DB00073
000780331,DB00074
596760101,DB00075
506330120,DB00076
001730230,DB00076
679190011,DB00080
000231145,DB00083
504190355,DB00087
504190357,DB00087
584680357,DB00087
000780110,DB00091
000780109,DB00091
553900122,DB00091
000780248,DB00091
000780274,DB00091
000780240,DB00091
000780241,DB00091
000239163,DB00091
353560248,DB00091
000780246,DB00091
584680080,DB00098
555130546,DB00099
548682522,DB00099
545694824,DB00099
555130530,DB00099
000450810,DB00102
000780182,DB00104
553900160,DB00104
633230376,DB00104
000780183,DB00104
000780181,DB00104
000780180,DB00104
553900161,DB00104
633230377,DB00104
000780341,DB00104
000780342,DB00104
553900162,DB00104
000850571,DB00105
000851179,DB00105
615530740,DB00107
615700416,DB00107
633230012,DB00107
545691884,DB00107
000040380,DB00109
605744113,DB00110
605744111,DB00110
605744112,DB00110
605744114,DB00110
000040501,DB00111
502420061,DB00112
545692881,DB00115
002560185,DB00115
680840065,DB00115
743120013,DB00115
101350330,DB00115
743120006,DB00115
005170031,DB00115
009044218,DB00115
877010712,DB00115
005363541,DB00115
633230044,DB00115
001821017,DB00115
002649341,DB00117
003381144,DB00117
003381147,DB00117
002641909,DB00117
002641909,DB00120
003381144,DB00120
003381147,DB00120
002649341,DB00120
680840065,DB00121
002560185,DB00121
003381147,DB00123
003381144,DB00123
002641909,DB00123
002649341,DB00123
000090436,DB00125
003381144,DB00125
002649341,DB00125
003381147,DB00125
545695279,DB00126
656490201,DB00126
680840065,DB00126
002560185,DB00126
002649341,DB00128
003381144,DB00133
002649341,DB00133
003381147,DB00133
003381147,DB00134
002641909,DB00134
002649341,DB00134
003381144,DB00134
003381144,DB00135
003381147,DB00135
002649341,DB00135
000040144,DB00136
633230731,DB00136
000540007,DB00136
000930657,DB00136
000040143,DB00136
000930658,DB00136
680840065,DB00140
002560185,DB00140
104320065,DB00140
002649341,DB00142
002649341,DB00145
003381147,DB00145
003381144,DB00145
003381147,DB00149
002649341,DB00149
003381144,DB00149
002641909,DB00149
002641909,DB00150
003381147,DB00150
002649341,DB00150
003381144,DB00150
002641909,DB00151
002649341,DB00151
001820047,DB00152
009040544,DB00152
002560185,DB00152
633230013,DB00152
516450905,DB00152
006410610,DB00152
548682489,DB00152
680840065,DB00152
109390201,DB00152
005364678,DB00152
002231971,DB00153
104320170,DB00153
000914150,DB00153
003381147,DB00156
002641909,DB00156
003381144,DB00156
002649341,DB00156
625840897,DB00158
680840065,DB00158
633230184,DB00158
002560185,DB00158
003381147,DB00160
003381144,DB00160
002649341,DB00160
003381147,DB00161
002649341,DB00161
002641909,DB00161
003381144,DB00161
001864301,DB00162
665910239,DB00162
009042085,DB00162
617030418,DB00162
001864291,DB00162
005364799,DB00163
548380005,DB00163
005364801,DB00163
005364793,DB00163
001865800,DB00163
665910800,DB00163
274340031,DB00163
009040277,DB00163
001820086,DB00165
002560185,DB00165
633230180,DB00165
005364406,DB00165
680840065,DB00165
002649341,DB00167
003381147,DB00167
003381144,DB00167
002641909,DB00167
003381144,DB00172
003381147,DB00172
002649341,DB00172
000930771,DB00175
510790458,DB00175
000937201,DB00175
000035178,DB00175
680840186,DB00175
000035154,DB00175
636721050,DB00176
000780359,DB00177
000780423,DB00177
000780376,DB00177
000780358,DB00177
545695362,DB00177
615700110,DB00178
000540106,DB00178
680840267,DB00178
000390104,DB00178
615700111,DB00178
615700112,DB00178
004560672,DB00180
009043365,DB00181
582810563,DB00181
510790668,DB00181
582810561,DB00181
540920381,DB00182
005550762,DB00182
005550971,DB00182
548683976,DB00182
540920387,DB00182
007661450,DB00184
001350195,DB00184
007661470,DB00184
001350511,DB00184
007660045,DB00184
372050361,DB00184
372050988,DB00184
007661500,DB00184
372050363,DB00184
007661460,DB00184
633950201,DB00185
000543532,DB00186
100190102,DB00186
680840089,DB00186
000741985,DB00186
004091985,DB00186
000080581,DB00186
609770112,DB00186
510790417,DB00186
000241155,DB00186
510790386,DB00186
009041500,DB00186
009045980,DB00186
009041501,DB00186
100190055,DB00187
100190015,DB00187
553900062,DB00187
633230652,DB00187
100190025,DB00187
100190115,DB00187
100190075,DB00187
630200049,DB00188
188600342,DB00190
000560521,DB00190
009047719,DB00190
000560601,DB00190
000913342,DB00190
250100711,DB00190
004067171,DB00193
000450659,DB00193
000242301,DB00195
000650246,DB00195
000493450,DB00196
000493500,DB00196
000493436,DB00196
597625030,DB00196
000493440,DB00196
000493430,DB00196
498840941,DB00196
000493435,DB00196
001725413,DB00196
003782520,DB00196
597625018,DB00196
617030414,DB00196
003386046,DB00196
007031029,DB00196
004094688,DB00196
000493420,DB00196
007031020,DB00196
597625015,DB00196
597625017,DB00196
003386045,DB00196
597625016,DB00196
000040810,DB00198
000040800,DB00198
000040802,DB00198
000040820,DB00198
242080910,DB00199
004096482,DB00199
004720977,DB00199
009047926,DB00199
481020008,DB00199
000746478,DB00199
000746369,DB00199
000746304,DB00199
001680070,DB00199
001680215,DB00199
007130166,DB00201
000876011,DB00201
005740823,DB00201
005271552,DB00201
005172502,DB00201
198100007,DB00201
001431787,DB00201
005913219,DB00201
000780103,DB00201
000746629,DB00202
004096629,DB00202
000694210,DB00203
000694200,DB00203
000694190,DB00203
000695800,DB00204
000695820,DB00204
000695810,DB00204
520540330,DB00205
001730201,DB00205
000693110,DB00207
007811497,DB00207
000693150,DB00207
000693080,DB00207
000693060,DB00207
633230398,DB00207
597623060,DB00207
680840278,DB00207
597623080,DB00207
250210112,DB00207
000040018,DB00208
540920004,DB00211
002450212,DB00211
540920003,DB00211
683870293,DB00213
000080923,DB00213
510790417,DB00213
003001544,DB00213
000080841,DB00213
000040263,DB00214
000040264,DB00214
000040262,DB00214
000040265,DB00214
000040267,DB00214
005170770,DB00214
605052519,DB00215
001724741,DB00215
004564020,DB00215
548380540,DB00215
000654013,DB00218
000851733,DB00218
630100027,DB00220
545694543,DB00220
630100010,DB00220
000390221,DB00222
000390222,DB00222
000390223,DB00222
000060571,DB00224
000060573,DB00224
510790975,DB00227
000060731,DB00227
000711012,DB00230
000711014,DB00230
510790418,DB00231
100190070,DB00235
000241203,DB00235
633230617,DB00235
003386010,DB00235
000241200,DB00235
005970046,DB00238
005970047,DB00238
005913219,DB00241
005271552,DB00241
001431787,DB00241
596760201,DB00242
671590112,DB00243
004300752,DB00244
001490752,DB00244
540920189,DB00244
000321924,DB00244
000936888,DB00244
589140501,DB00244
510790222,DB00245
680840388,DB00245
147890300,DB00245
009041056,DB00245
673860611,DB00245
000063275,DB00245
510790220,DB00245
009041055,DB00245
510790221,DB00245
000493980,DB00246
000493990,DB00246
000493970,DB00246
